,timestamp,Keypad4,Keypad3,Keypad2,Keypad1,Opto4,Opto3,Opto2,Opto1,TTLin2,TTLin1,Mic2,Mic1,ActClose4,ActClose3,ActClose2,ActClose1,TTLout2,TTLout1,Sounder2,Sounder1
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,301.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,304.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,304.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,300.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,316.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,317.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,314.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,314.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,316.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,310.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
13,348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,348.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15,351.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,351.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,360.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,360.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,360.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,360.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,300.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,301.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,302.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,300.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,400.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27,403.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,422.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,23.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,40.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,40.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
33,44.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,44.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
35,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,60.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
37,62.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,64.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
39,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,66.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,60.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
